koi_id,planet_designation,p_orb_days,a_AU,r_pl_earth,teff,r_star_rsol,insolation_flux_F_E
Kepler-1278,b,3.24,0.04,1.01,6074,1.16,834.80
Kepler-1279,b,23.48,0.17,1.75,6221,1.33,81.29
Kepler-1280,b,66.56,0.34,1.87,6227,1.32,20.14
Kepler-1281,b,3.12,0.04,1.64,5353,0.83,319.40
Kepler-1282,b,2.13,0.03,1.55,5504,0.89,655.95
Kepler-1283,b,12.95,0.11,1.91,6175,1.25,158.54
Kepler-1284,b,0.66,0.01,1.21,5123,0.79,1952.01
Kepler-1285,b,14.80,0.13,0.97,6170,1.28,135.57
Kepler-1287,b,11.48,0.10,1.54,5715,0.94,87.63
Kepler-1288,b,2.76,0.04,1.12,6132,1.29,1259.71
Kepler-1289,b,7.99,0.08,1.52,6080,1.17,257.39
Kepler-1290,b,4.70,0.05,1.42,5660,0.93,273.64
Kepler-1291,b,8.63,0.08,1.66,5216,0.80,70.40
Kepler-1292,b,3.28,0.04,1.82,5556,0.93,410.45
Kepler-1293,b,5.58,0.07,0.97,6241,1.28,527.19
Kepler-1295,b,3.81,0.05,1.55,5486,0.89,298.14
Kepler-1296,b,8.38,0.08,0.91,5359,0.83,85.73
Kepler-1297,b,1.68,0.03,0.97,5818,0.99,1323.78
Kepler-1163,b,6.12,0.07,1.03,6302,1.35,527.00
Kepler-1164,b,3.98,0.05,1.12,5183,0.79,186.63
Kepler-1165,b,9.48,0.09,1.55,6080,1.18,204.78
Kepler-1167,b,1.00,0.02,1.71,4971,0.75,936.44
Kepler-1169,b,6.11,0.07,0.94,6191,1.23,403.75
Kepler-1173,b,0.77,0.02,0.89,5252,0.82,1877.83
Kepler-1174,b,6.89,0.07,1.59,5936,1.04,233.60
Kepler-1177,b,106.25,0.44,1.90,5712,0.97,4.72
Kepler-1178,b,31.81,0.18,1.07,4990,0.75,9.41
Kepler-1179,b,2.69,0.04,1.32,5212,0.81,341.30
Kepler-1181,b,4.89,0.06,1.57,6176,1.30,624.29
Kepler-1189,b,3.79,0.05,1.77,6012,1.16,650.25
Kepler-1190,b,10.46,0.09,1.33,4730,0.72,31.91
Kepler-180,b,13.82,0.11,1.50,5731,1.06,91.53
Kepler-181,b,3.14,0.04,1.27,5333,0.75,255.15
Kepler-181,c,4.30,0.05,1.99,5333,0.75,170.03
Kepler-184,c,20.30,0.14,1.97,5788,0.87,38.34
Kepler-185,b,1.63,0.03,1.17,5208,0.81,640.63
Kepler-186,c,7.27,0.05,1.25,3755,0.52,23.71
Kepler-186,d,13.34,0.08,1.40,3755,0.52,7.91
Kepler-186,e,22.41,0.11,1.27,3755,0.52,3.99
Kepler-187,b,4.94,0.06,1.41,6105,1.29,595.82
Kepler-188,b,2.06,0.03,1.68,6021,1.14,1496.52
Kepler-189,b,10.40,0.09,1.21,5235,0.75,48.95
Kepler-190,b,2.02,0.03,1.56,5106,0.80,433.67
Kepler-190,c,3.76,0.05,1.46,5106,0.80,192.74
Kepler-191,c,17.74,0.13,1.86,5282,0.79,26.60
Kepler-32,f,0.74,0.01,0.82,3900,0.53,345.00
Kepler-33,b,5.67,0.07,1.74,5904,1.82,787.86
K2-3,c,24.64,0.14,1.85,3896,0.56,3.31
Kepler-1298,b,7.13,0.08,1.31,6339,2.00,860.74
Kepler-1300,b,22.24,0.17,1.37,6130,1.79,142.95
Kepler-1301,b,9.08,0.08,1.40,5188,0.81,65.47
Kepler-1302,b,8.84,0.08,1.43,5236,0.82,71.62
Kepler-1303,b,7.56,0.08,1.42,5771,1.00,173.89
Kepler-1305,b,13.56,0.11,1.88,5701,0.96,71.94
Kepler-1306,b,16.30,0.12,1.91,5727,0.97,58.16
Kepler-1308,b,2.10,0.02,0.52,3468,0.34,29.24
Kepler-1310,b,0.68,0.01,1.44,5549,0.88,3066.36
Kepler-1311,b,11.17,0.10,1.24,5748,1.40,194.20
Kepler-1311,c,2.54,0.04,1.22,5748,1.40,1402.81
Kepler-1313,b,3.83,0.05,1.76,5453,0.85,263.67
Kepler-1315,b,0.84,0.02,1.38,4861,0.75,1071.21
Kepler-1319,b,2.89,0.03,1.34,3655,0.54,43.65
Kepler-1320,b,0.87,0.02,1.70,4817,0.74,967.16
